generation,min_loss,min_loss_val,med_loss,med_size,med_complexity,med_num_params,med_dim
143,196.74,232.349,275.272,13,23,5,7
144,196.74,232.349,283.516,12,22,5,7
145,196.74,232.349,281.137,13,23,5,7
146,196.74,232.349,276.884,13,23,5,7
147,196.74,232.349,266.972,13,23,5,7
148,196.74,232.349,282.94,12,22,5,7
149,196.74,232.349,275.327,12,22,5,7
150,196.74,232.349,272.043,12,22,5,7
151,196.74,232.349,271.129,13,23,5,7
152,196.74,232.349,271.245,13,23,5,7
153,196.74,232.349,267.04,13,23,5,8
154,196.74,232.349,266.972,13,23,5,8
155,196.74,232.349,266.972,14,24,6,8
156,196.74,232.349,266.972,14,24,6,8
157,196.74,232.349,271.245,13,23,5,7
158,196.74,232.349,267.856,13,24,6,8
159,196.74,232.349,266.972,13,23,5,8
160,196.74,232.349,281.281,13,23,5,8
161,196.74,232.349,270.482,13,23,5,8
162,196.74,232.349,266.972,13,23,5,8
163,196.74,232.349,266.972,13,24,6,8
164,196.74,232.349,271.245,14,24,6,8
165,196.74,232.349,273.625,13,23,5,8
166,196.74,232.349,272.133,13,23,5,8
167,196.74,232.349,280.02,13,24,6,8
168,196.74,232.349,266.972,13,23,5,8
169,196.74,232.349,266.972,13,24,6,8
170,196.74,232.349,266.972,13,23,5,8
171,196.74,232.349,269.109,14,24,6,8
172,196.74,232.349,281.133,13,24,6,8
173,196.74,232.349,266.972,13,23,5,8
174,196.74,232.349,266.972,13,23,5,8
175,196.74,232.349,266.972,13,23,5,8
176,196.74,232.349,266.972,13,24,6,8
177,196.74,232.349,266.972,13,23,5,7
178,196.74,232.349,266.972,12,22,5,7
179,196.74,232.349,266.972,13,23,5,8
180,196.74,232.349,266.972,13,23,5,8
181,196.74,232.349,274.323,14,24,6,8
182,196.74,232.349,266.972,14,26,7,8
183,196.74,232.349,266.972,14,28,7,8
184,196.74,232.349,266.972,14,24,6,8
185,196.74,232.349,266.972,14,24,6,8
186,196.74,232.349,266.972,13,23,5,8
187,196.74,232.349,266.972,14,24,6,8
188,196.74,232.349,271.775,13,24,6,8
189,196.74,232.349,266.972,14,24,6,8
190,196.74,232.349,266.972,11,21,5,7
191,196.733,232.274,286.757,11,21,5,6
192,196.733,232.274,281.139,11,21,5,7
193,196.733,232.274,286.757,12,22,5,7
194,196.733,232.274,277.904,13,23,5,7
195,196.733,232.274,266.972,13,23,5,7
196,196.733,232.274,271.245,13,23,5,8
197,196.733,232.274,270.894,13,23,5,8
198,196.733,232.274,266.972,13,23,5,8
199,196.733,232.274,266.972,13,23,5,8
generation,min_loss,min_loss_val,med_loss,med_size,med_complexity,med_num_params,med_dim
0,379.027,445.208,1731.62,16,40,8,7
1,330.022,307.748,528.165,16,38,9,7
2,252.953,321.553,455.404,17,41,9,8
3,248.596,328.074,416.302,18,42,11,8
4,234.671,316.83,405.9,22,84,13,8
5,234.36,300.068,383.161,28,105,20,8
6,226.884,306.555,338.411,26,93,18,8
7,210.234,256.639,333.958,22,53,14,8
8,209.983,257.586,308.518,21,52,13,8
9,209.983,257.586,308.735,20,43,13,7
10,197.033,225.91,325.959,19,40,12,7
11,196.978,227.509,329.233,18,37,11,7
12,193.63,215.197,331.609,18,36,11,7
13,193.62,215.187,330.674,18,37,11,7
14,193.55,213.859,321.467,16,36,11,6
15,193.545,213.856,318.723,16,34,10,6
16,193.545,213.856,328.177,16,30,10,6
17,193.541,213.852,330.702,14,28,9,6
18,193.541,213.852,327.292,14,28,8,6
19,193.541,213.852,323.385,14,28,8,6
20,193.537,213.848,320.543,13,24,8,5
21,193.536,209.726,324.352,13,24,7,5
22,193.536,209.726,321.956,11,21,6,5
23,193.527,209.718,327.019,12,22,6,5
24,191.821,221.007,317.016,12,21,6,5
25,191.821,221.007,314.201,12,22,6,5
26,191.821,221.007,314.201,10,19,5,5
27,191.821,221.007,302.165,10,20,5,5
28,191.695,250.824,296.974,8,17,4,4
29,191.695,250.824,313.725,7,16,3,4
30,191.695,250.824,315.766,7,16,3,4
31,190.786,247.359,315.099,6,13,3,4
32,190.786,247.359,315.766,5,11,2,4
33,189.488,234.48,316.774,6,12,2,4
34,189.488,234.48,316.785,6,14,2,4
35,185.706,233.042,288.622,12,23,5,5
36,185.706,233.042,270.809,13,31,8,6
37,185.706,233.042,275.725,14,35,8,6
38,175.268,222.351,248.26,13,34,8,6
39,175.268,222.351,258.818,13,33,8,6
40,175.268,222.351,266.604,13,34,8,6
41,175.268,222.351,275.725,13,31,7,6
42,175.268,222.351,275.725,12,30,7,5
43,175.268,222.351,258.818,12,28,6,5
44,175.268,222.351,289.194,12,28,6,5
45,175.268,222.351,275.725,12,29,7,6
46,175.268,222.351,291.455,12,29,7,5
47,175.268,222.351,275.725,12,27,6,5
48,175.268,222.351,291.455,11,21,3,5
49,175.268,222.351,301.91,12,29,7,5
50,175.268,222.351,275.725,12,29,7,5
51,175.268,222.351,291.455,12,29,7,5
52,175.268,222.351,291.455,12,29,7,6
53,175.268,222.351,291.455,12,29,7,6
54,175.268,222.351,291.455,12,29,7,6
55,175.268,222.351,291.455,12,27,6,5
56,175.268,222.351,291.455,9,19,3,6
57,175.268,222.351,291.452,9,19,3,5
58,175.268,222.351,290.96,9,19,3,5
59,175.268,222.351,290.465,9,19,3,6
60,175.268,222.351,290.465,11,24,5,6
61,175.268,222.351,267.181,12,32,7,6
62,171.287,236.296,267.181,13,33,8,6
63,171.287,236.296,267.181,12,31,7,6
64,171.287,236.296,267.181,13,33,8,6
65,171.287,236.296,267.181,13,33,8,6
66,171.287,236.296,254.684,13,34,8,6
67,171.287,236.296,243.484,13,34,8,6
68,171.21,234.859,254.684,14,35,8,6
69,171.21,234.859,254.684,14,36,8,6
70,171.21,234.859,254.684,14,34,8,6
71,171.21,234.859,248.602,13,34,8,6
72,171.21,234.859,239.336,14,35,8,6
73,171.21,234.859,244.694,14,35,8,6
74,171.21,234.859,228.797,14,35,8,6
75,171.21,234.859,252.736,14,35,8,6
76,171.21,234.859,254.684,14,35,8,6
77,171.21,234.859,241.252,13,34,8,6
78,171.21,234.859,254.684,13,34,8,6
79,171.21,234.859,254.684,14,35,8,6
80,171.21,234.859,241.746,14,35,8,6
81,171.21,234.859,249.311,14,35,8,6
82,171.155,236.14,248.847,14,35,8,6
83,171.155,236.14,249.311,14,34,8,6
84,171.155,236.14,228.797,14,35,8,6
85,171.155,236.14,238.993,14,35,8,6
86,171.155,236.14,228.797,14,36,8,6
87,166.116,211.98,254.684,14,35,8,6
88,165.012,206.177,249.311,14,35,8,6
89,165.012,206.177,228.797,14,36,8,6
90,165.012,206.177,228.797,15,36,8,7
91,160.617,209.108,228.797,15,37,9,7
92,160.617,209.108,228.797,15,38,9,7
93,160.617,209.108,215.14,15,37,9,7
94,160.617,209.108,228.797,14,37,9,6
95,160.617,209.108,228.797,14,36,8,6
96,160.617,209.108,236.445,14,36,8,6
97,160.617,209.108,228.797,14,36,8,6
98,160.617,209.108,228.797,15,37,9,6
99,160.617,209.108,215.14,15,37,9,6
100,160.617,209.108,215.14,15,37,9,6
101,160.617,209.108,231.449,14,36,8,6
102,160.617,209.108,228.797,14,36,8,6
103,160.617,209.108,224.886,15,37,9,7
104,160.617,209.108,228.797,15,38,9,7
105,160.617,209.108,228.797,15,38,9,7
106,160.617,209.108,215.14,15,38,9,7
107,160.617,209.108,228.797,15,38,9,7
108,160.617,209.108,215.14,15,38,9,7
109,160.617,209.108,215.14,15,38,9,7
110,160.617,209.108,215.14,16,39,9,7
111,160.617,209.108,215.14,16,39,9,7
112,160.617,209.108,215.14,15,38,9,7
113,160.617,209.108,241.802,15,37,9,7
114,160.617,209.108,228.797,15,36,8,7
115,160.617,209.108,226.108,15,36,8,7
116,160.617,209.108,228.797,15,36,8,6
117,160.617,209.108,228.797,15,37,9,7
118,160.617,209.108,215.14,15,38,9,7
119,160.617,209.108,228.797,16,39,9,7
120,160.617,209.108,215.14,16,39,9,7
121,160.617,209.108,214.853,16,39,9,7
122,160.617,209.108,214.853,16,39,9,7
123,160.617,209.108,215.14,16,38,9,7
124,160.617,209.108,247.551,16,39,9,7
125,160.617,209.108,228.797,16,39,9,7
126,160.196,230.157,215.14,16,39,9,7
127,159.334,227.346,214.853,16,39,9,7
128,159.334,227.346,215.14,16,39,9,7
129,159.334,227.346,215.14,15,36,8,7
130,159.334,227.346,236.588,15,36,8,7
131,159.334,227.346,223.922,16,39,9,7
132,159.334,227.346,223.852,16,39,9,7
133,159.334,227.346,228.797,16,39,9,7
134,159.334,227.346,215.14,16,39,9,7
135,159.334,227.346,214.853,16,39,9,7
136,159.334,227.346,214.853,16,39,9,7
137,159.334,227.346,214.853,16,39,9,7
138,159.334,227.346,215.14,16,39,9,7
139,159.334,227.346,228.797,16,39,9,7
140,159.334,227.346,228.797,16,39,9,7
141,159.334,227.346,214.997,16,39,9,7
142,159.334,227.346,214.853,16,39,9,7
143,159.334,227.346,215.14,16,39,9,7
144,159.334,227.346,214.853,19,48,11,7
145,159.334,227.346,228.797,16,39,9,7
146,159.334,227.346,214.853,16,39,9,7
147,159.334,227.346,215.14,16,39,9,7
148,159.334,227.346,215.14,16,39,9,7
149,159.334,227.346,223.282,16,39,9,7
150,159.334,227.346,224.45,16,39,9,7
151,159.334,227.346,223.922,16,39,9,7
152,159.334,227.346,215.14,16,39,9,7
153,159.334,227.346,215.14,19,52,12,7
154,159.334,227.346,214.853,19,52,12,7
155,159.334,227.346,215.14,19,52,12,7
156,159.334,227.346,214.853,19,48,11,7
157,159.334,227.346,214.853,18,44,10,7
158,159.334,227.346,213.463,16,39,9,7
159,159.334,227.346,227.876,15,36,8,7
160,159.334,227.346,228.794,16,39,9,7
161,159.334,227.346,228.794,16,39,9,7
162,159.334,227.346,215.14,16,39,9,7
163,159.334,227.346,218.943,17,42,10,7
164,159.334,227.346,215.14,19,52,12,7
165,159.334,227.346,215.14,19,45,11,7
166,159.334,227.346,228.792,16,39,9,7
167,159.334,227.346,215.14,16,39,9,7
168,159.334,227.346,228.797,16,39,9,7
169,159.334,227.346,215.14,16,39,9,7
170,159.334,227.346,217.345,19,52,12,7
171,159.334,227.346,215.765,16,39,9,7
172,159.334,227.346,228.794,16,39,9,7
173,159.334,227.346,215.14,17,42,10,7
174,159.334,227.346,214.853,19,52,12,7
